ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
7117410,HR526638,09/08/2009 11:00:00 AM,055XX S SPAULDING AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0822,008,14,63,05,1155327,1867597,2009,02/28/2018 03:56:25 PM,41.792486962,-87.705976037,"(41.792486962, -87.705976037)"
7117411,HR526659,09/03/2009 08:00:00 AM,031XX W 39TH PL,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,false,false,0912,009,14,58,10,1156086,1878255,2009,02/28/2018 03:56:25 PM,41.821718714,-87.702906194,"(41.821718714, -87.702906194)"
7117412,HR526851,09/08/2009 10:40:00 PM,007XX W 74TH ST,0460,BATTERY,SIMPLE,STREET,false,false,0732,007,17,68,08B,1172716,1855808,2009,02/28/2018 03:56:25 PM,41.759770671,-87.642560248,"(41.759770671, -87.642560248)"
7117413,HR526856,09/08/2009 09:49:00 PM,084XX S FRANCISCO AVE,1661,GAMBLING,GAME/DICE,PARK PROPERTY,true,false,0835,008,18,70,19,1158332,1848593,2009,02/28/2018 03:56:25 PM,41.740276435,-87.695473812,"(41.740276435, -87.695473812)"
7117416,HR526781,09/08/2009 07:00:00 PM,060XX S KEATING AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,0813,008,13,64,06,1145740,1864064,2009,02/28/2018 03:56:25 PM,41.782978435,-87.741219927,"(41.782978435, -87.741219927)"
7117418,HR526680,09/08/2009 08:20:00 PM,065XX S OAKLEY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0832,008,15,66,08B,1162197,1861280,2009,02/28/2018 03:56:25 PM,41.775011935,-87.680960316,"(41.775011935, -87.680960316)"
7117419,HR526416,09/08/2009 10:00:00 AM,042XX W CULLERTON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1012,010,24,29,14,1148448,1890083,2009,02/28/2018 03:56:25 PM,41.8543267,-87.730622269,"(41.8543267, -87.730622269)"
7117420,HR526830,09/08/2009 09:45:00 PM,062XX S CHAMPLAIN AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,true,0313,003,20,42,08A,1181642,1863728,2009,02/28/2018 03:56:25 PM,41.781302592,-87.609602521,"(41.781302592, -87.609602521)"
7117422,HR526832,09/08/2009 07:30:00 PM,070XX S ST LAWRENCE AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,0322,003,6,69,03,1181459,1858251,2009,02/28/2018 03:56:25 PM,41.766277393,-87.610442216,"(41.766277393, -87.610442216)"
7117427,HR526916,09/08/2009 11:10:00 PM,011XX S STATE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA TRAIN,true,false,0132,001,2,32,18,1176516,1895374,2009,02/28/2018 03:56:25 PM,41.868258726,-87.627442185,"(41.868258726, -87.627442185)"
